# timestamp[ns] w.x w.y w.z a.x a.y a.z
1650458715596950054 -0.003493 -0.000047 -0.000040 1.322169 -9.846735 -0.106073
1650458715601927042 -0.000002 -0.000047 0.001706 1.305799 -9.838548 -0.113718
1650458715606904030 -0.001747 -0.000047 0.001706 1.314475 -9.846125 -0.105054
1650458715607136965 -0.001666 -0.000292 0.001624 1.314476 -9.845850 -0.105174
1650458715611881018 -0.000002 -0.005283 -0.000040 1.314515 -9.840256 -0.107617
1650458715616857052 -0.000002 0.003444 -0.000040 1.312968 -9.856497 -0.123501
1650458715621834040 -0.005238 -0.000047 0.001706 1.307529 -9.845973 -0.116440
1650458715626811028 -0.003493 -0.000047 0.001706 1.319722 -9.838500 -0.123031
1650458715631788015 -0.000002 0.001699 0.003451 1.294746 -9.836831 -0.114976
1650458715636765003 -0.001747 0.001699 -0.000040 1.294717 -9.840322 -0.116730
1650458715641741037 -0.000002 -0.000047 0.005196 1.298174 -9.855303 -0.123253
1650458715646718025 -0.000002 0.006935 0.001706 1.316315 -9.847864 -0.114901
1650458715647187948 -0.000167 0.006605 0.001541 1.317070 -9.848095 -0.115079
1650458715651695013 -0.001747 0.003444 -0.000040 1.324319 -9.850313 -0.116787
1650458715656672001 0.001743 -0.000047 0.001706 1.320246 -9.852283 -0.124763
1650458715661648989 -0.000002 -0.000047 0.001706 1.302582 -9.829698 -0.120459
1650458715666625977 -0.000002 0.005189 0.001706 1.301318 -9.834529 -0.102865
1650458715671602011 -0.000002 -0.000047 -0.000040 1.319954 -9.834452 -0.099481
1650458715676578999 -0.001747 -0.000047 -0.000040 1.302172 -9.854655 -0.115140
1650458715681555986 -0.001747 0.001699 0.001706 1.294694 -9.844204 -0.112679
1650458715686532974 -0.003493 0.001699 -0.000040 1.297262 -9.834191 -0.107545
1650458715687238932 -0.002502 0.001451 0.000703 1.299040 -9.834005 -0.108569
1650458715691509962 0.003489 -0.000047 0.005196 1.309795 -9.832881 -0.114766
1650458715696485996 -0.003493 -0.000047 -0.001785 1.324361 -9.845557 -0.112161
1650458715701462984 -0.000002 0.003444 0.003451 1.324403 -9.840849 -0.107582
1650458715706439972 -0.000002 0.001699 0.001706 1.318771 -9.845319 -0.117619
1650458715711416960 -0.000002 0.005189 -0.000040 1.310362 -9.837832 -0.118962
1650458715716393948 -0.001747 0.003444 -0.000040 1.324428 -9.838031 -0.104841
1650458715721369982 -0.000002 0.003444 0.003451 1.324400 -9.841165 -0.107890
1650458715726346970 -0.001747 0.001699 0.005196 1.318147 -9.847840 -0.111799
